Brand,avg_price
"Odom, Norton and Foster",69.0
Dean Ltd,69.0
Cardenas Inc,68.0
Gentry LLC,66.0
Patterson-Lawson,65.0
"Hernandez, Robertson and Hammond",61.0
Silva and Sons,59.0
"Vaughan, Gray and Logan",57.0
Ochoa Ltd,55.0
"Lynn, Figueroa and Craig",54.0
"Conway, Villanueva and Kerr",54.0
Marshall-Wise,53.0
Cabrera-Barber,52.0
Gallegos Group,51.0
"Lane, Blake and Graham",47.0
Holmes-Cardenas,46.0
"Perez, Alvarez and Gordon",45.0
Lang LLC,45.0
Boyd Ltd,44.0
Li Ltd,44.0
"Camacho, Hicks and Fuller",43.0
Baldwin Group,41.0
Durham-Leblanc,39.0
Everett Ltd,38.0
Hensley LLC,37.0
"Zavala, Pugh and Wiley",35.0
"Boone, Velazquez and Hunt",34.0
Schmitt-Barrera,34.0
Calderon Group,32.0
Buck-Hoover,30.0
Moran-Rangel,29.0
May Inc,28.0
French Group,26.0
"Sherman, Shepherd and Cunningham",24.0
"Underwood, Ingram and Gregory",23.0
Maldonado and Sons,22.0
"Houston, Kennedy and Conway",21.0
Booker-Sexton,21.0
Espinoza-Anderson,20.0
Vincent Group,20.0
"Beltran, Khan and Proctor",20.0
King and Sons,20.0
Oliver PLC,19.0
"Maxwell, Terrell and Rosario",18.0
Pierce-Medina,17.0
Pacheco PLC,16.0
Hebert Group,16.0
"Duffy, Knapp and Orozco",16.0
Fox-Stone,16.0
"Hoffman, Bender and Jackson",14.0
Benton-Townsend,14.0
Gonzales-Porter,14.0
Nicholson Ltd,11.0
Novak-Rose,11.0
Reilly PLC,9.0
Woodward Group,8.0
Ross-Gray,7.0
Holland-Jefferson,4.0
Bailey Group,1.0
Lane-Mcneil,1.0
